dataset,model,optimizer,seed,corruption,accuracy
cifar100,resnet18,sam,42,glass_blur,0.22612000000000002
cifar100,resnet18,sam,42,motion_blur,0.5534600000000001
cifar100,resnet18,sam,42,zoom_blur,0.53878
cifar100,resnet18,sam,42,snow,0.5516
cifar100,resnet18,sam,42,frost,0.49496
cifar100,resnet18,sam,42,fog,0.6413599999999999
cifar100,resnet18,sam,42,brightness,0.7394000000000001
cifar100,resnet18,sam,42,contrast,0.5372600000000001
cifar100,resnet18,sam,42,elastic_transform,0.61904
cifar100,resnet18,sam,42,pixelate,0.54344
cifar100,resnet18,sam,42,jpeg_compression,0.5302800000000001
cifar100,resnet18,sam,43,gaussian_noise,0.23834
cifar100,resnet18,sam,43,shot_noise,0.32082
cifar100,resnet18,sam,43,impulse_noise,0.25806
cifar100,resnet18,sam,43,defocus_blur,0.59756
cifar100,resnet18,sam,43,glass_blur,0.23548
cifar100,resnet18,sam,43,motion_blur,0.5467
cifar100,resnet18,sam,43,zoom_blur,0.5277000000000001
cifar100,resnet18,sam,43,snow,0.5566
cifar100,resnet18,sam,43,frost,0.48860000000000003
cifar100,resnet18,sam,43,fog,0.6504399999999999
cifar100,resnet18,sam,43,brightness,0.7383599999999999
cifar100,resnet18,sam,43,contrast,0.54836
cifar100,resnet18,sam,43,elastic_transform,0.6182000000000001
cifar100,resnet18,sam,43,pixelate,0.54162
cifar100,resnet18,sam,43,jpeg_compression,0.5332
cifar100,resnet18,sam,44,gaussian_noise,0.23244000000000004
cifar100,resnet18,sam,44,shot_noise,0.31507999999999997
cifar100,resnet18,sam,44,impulse_noise,0.25348
cifar100,resnet18,sam,44,defocus_blur,0.6062000000000001
cifar100,resnet18,sam,44,glass_blur,0.23564
cifar100,resnet18,sam,44,motion_blur,0.5522
cifar100,resnet18,sam,44,zoom_blur,0.5436799999999999
cifar100,resnet18,sam,44,snow,0.5585199999999999
cifar100,resnet18,sam,44,frost,0.4925
cifar100,resnet18,sam,44,fog,0.6455599999999999
cifar100,resnet18,sam,44,brightness,0.73982
cifar100,resnet18,sam,44,contrast,0.54208
cifar100,resnet18,sam,44,elastic_transform,0.624
cifar100,resnet18,sam,44,pixelate,0.54464
cifar100,resnet18,sam,44,jpeg_compression,0.5293599999999999
cifar100,resnet18,asam,42,gaussian_noise,0.23034
cifar100,resnet18,asam,42,shot_noise,0.3181
cifar100,resnet18,asam,42,impulse_noise,0.28212000000000004
cifar100,resnet18,asam,42,defocus_blur,0.6310800000000001
cifar100,resnet18,asam,42,glass_blur,0.24222000000000002
cifar100,resnet18,asam,42,motion_blur,0.57864
cifar100,resnet18,asam,42,zoom_blur,0.57194
cifar100,resnet18,asam,42,snow,0.57768
cifar100,resnet18,asam,42,frost,0.5068400000000001
cifar100,resnet18,asam,42,fog,0.6561999999999999
cifar100,resnet18,asam,42,brightness,0.75144
cifar100,resnet18,asam,42,contrast,0.54472
cifar100,resnet18,asam,42,elastic_transform,0.63918
cifar100,resnet18,asam,42,pixelate,0.56886
cifar100,resnet18,asam,42,jpeg_compression,0.56654
cifar100,resnet18,asam,43,gaussian_noise,0.25498
cifar100,resnet18,asam,43,shot_noise,0.33937999999999996
cifar100,resnet18,asam,43,impulse_noise,0.2748
cifar100,resnet18,asam,43,defocus_blur,0.61948
cifar100,resnet18,asam,43,glass_blur,0.27888
cifar100,resnet18,asam,43,motion_blur,0.57232
cifar100,resnet18,asam,43,zoom_blur,0.56018
cifar100,resnet18,asam,43,snow,0.5839399999999999
cifar100,resnet18,asam,43,frost,0.52952
cifar100,resnet18,asam,43,fog,0.6568
cifar100,resnet18,asam,43,brightness,0.75206
cifar100,resnet18,asam,43,contrast,0.5543199999999999
cifar100,resnet18,asam,43,elastic_transform,0.63868
cifar100,resnet18,asam,43,pixelate,0.5705199999999999
cifar100,resnet18,asam,43,jpeg_compression,0.56224
