dataset,model,optimizer,seed,rank,normalized_positive_mass
cifar100,resnet18,sam,42,2,0.08878720539654116
cifar100,resnet18,sam,42,3,0.08194469721470235
cifar100,resnet18,sam,42,4,0.07645573850803225
cifar100,resnet18,sam,42,5,0.07133872790280031
cifar100,resnet18,sam,42,6,0.06112097879607229
cifar100,resnet18,sam,42,7,0.05139205123249913
cifar100,resnet18,sam,42,8,0.05064632220392992
cifar100,resnet18,sam,42,9,0.045842151071539494
cifar100,resnet18,sam,42,10,0.04324946896041439
cifar100,resnet18,sam,42,11,0.04086726531746579
cifar100,resnet18,sam,42,12,0.03619213897556376
cifar100,resnet18,sam,42,13,0.03489373214062253
cifar100,resnet18,sam,42,14,0.029417778410376454
cifar100,resnet18,sam,42,15,0.025878513062630535
cifar100,resnet18,sam,42,16,0.023605089164746313
cifar100,resnet18,sam,42,17,0.020892021979484438
cifar100,resnet18,sam,42,18,0.01701833525131547
cifar100,resnet18,sam,42,19,0.013954962517164764
cifar100,resnet18,sam,42,20,0.010602628062962898
cifar100,resnet18,sam,43,1,0.11357390446372688
cifar100,resnet18,sam,43,2,0.09533873187114811
cifar100,resnet18,sam,43,3,0.08473572367626882
cifar100,resnet18,sam,43,4,0.0776777086392298
cifar100,resnet18,sam,43,5,0.07268933650654771
cifar100,resnet18,sam,43,6,0.06132056262337583
cifar100,resnet18,sam,43,7,0.05958598775596955
cifar100,resnet18,sam,43,8,0.055056702633176954
cifar100,resnet18,sam,43,9,0.04981867467819636
cifar100,resnet18,sam,43,10,0.046258734382791954
cifar100,resnet18,sam,43,11,0.04266274896676727
cifar100,resnet18,sam,43,12,0.03998596149681496
cifar100,resnet18,sam,43,13,0.03790742391600895
cifar100,resnet18,sam,43,14,0.032464534181166654
cifar100,resnet18,sam,43,15,0.030976995196539483
cifar100,resnet18,sam,43,16,0.02615905031178811
cifar100,resnet18,sam,43,17,0.023532504463662743
cifar100,resnet18,sam,43,18,0.020270094921538386
cifar100,resnet18,sam,43,19,0.016240037634429137
cifar100,resnet18,sam,43,20,0.013744581680852333
cifar100,resnet18,sam,44,1,0.1867329645105618
cifar100,resnet18,sam,44,2,0.16180788940811502
cifar100,resnet18,sam,44,3,0.08644471390457453
cifar100,resnet18,sam,44,4,0.06920084096848766
cifar100,resnet18,sam,44,5,0.057530970886801015
cifar100,resnet18,sam,44,6,0.05103707867700696
cifar100,resnet18,sam,44,7,0.04661022818247738
